Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.49726772511229,12.655651149166752,39.57766801952616,4.082620632952961,587.9510539684005
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.92627202636016,11.109460728682564,37.268958868297744,2.66403418213262,392.2049334443264
pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.000914755642675,11.330278057777512,37.11059744212085,4.104543202376424,487.54750486747207
riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.30555662975554,13.717513665142508,36.72128267790313,3.120178782748092,581.8523440352178
mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.33067252364639,12.795188551078114,37.53665330059473,4.446308318351435,599.4060920457634
alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.87103787934198,12.026925339755058,34.47687762925054,5.493507201364199,637.102447915074
katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.02159550138701,11.366348309710526,36.683776152869605,4.685017246570912,521.5721747578274
awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.739142938380326,12.35195897300293,37.373358858547554,4.4342734348999375,549.9041461052942
vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.98777289568564,13.386235275676434,37.534497341555735,3.2734335777477144,570.2004089636195
bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.936548618448917,11.814128294972196,37.14516822352819,3.202806071553459,427.19938489532814
andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.99257277495374,13.338975447662111,37.22580613162114,2.482607770510596,492.6060127179966
ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.87936082480498,11.584782999535266,37.087926070983805,3.71320920294043,522.3374046069357
knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.532428967057943,10.961298400154098,37.42021557502538,4.046423164299585,408.64035107262754
wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.19033404372265,12.959226091609382,36.14466670004192,3.918541839158999,573.4158673313865
taylormason@gmail.com,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.38797585315387,13.148725692056516,36.61995708279922,2.494543646659249,470.45273330095546
jstark@anderson.com,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,30.737720372628186,12.636606052000127,36.213763093698624,3.357846842326294,461.7807421962299
wjennings@gmail.com,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.12538689728784,11.733861690857392,34.8940927514398,3.1361327164897803,457.84769594494855
rebecca45@hale-bauer.biz,"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.33889932306719,12.0131946940144,38.38513659413844,2.420806160901484,407.7045475495441
alejandro75@hotmail.com,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",Cyan,32.187812045932155,14.7153875441565,38.24411459434352,1.516575580831944,452.31567548003545
samuel46@love-west.net,"544 Alexander Heights Suite 768
North Johnview, MT 57912",LightSeaGreen,32.61785606282345,13.989592555825254,37.19050380039796,4.064548550437977,605.061038804892
megan33@gmail.com,"84426 Julia Vista
North Teresa, KY 50756",PeachPuff,32.91278511115979,11.365492025516156,37.60779252420698,4.599937357614995,534.7057438060227
agolden@yahoo.com,"PSC 2490, Box 2120
APO AE 15445-2876",Black,33.50308725671972,12.87798369625634,37.44102133556604,1.559151939957077,419.9387748391792
vstafford@hotmail.com,"PSC 5723, Box 8159
APO AA 74738",Olive,31.531604482572902,13.378562784168986,38.73400628989712,2.2451477874052825,436.51560572936256
denise22@hernandez-townsend.com,"USNS Cardenas
FPO AA 85439-9449",Silver,32.903250973372074,11.657575922065584,36.77260376125875,3.919302308553184,519.3409891307888
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190
Nicholsbury, WV 60804-4440",Wheat,34.50755099852662,12.893669504071738,37.63575587790592,5.705153970601026,700.9170916173961
william25@mcconnell.com,"9495 Mary Fall Apt. 777
Glassport, ND 17957-5596",Teal,33.02933195350689,11.765812645482358,37.73852494557909,2.7217359920452187,423.17999168059777
